index,Member ID,Member first name,Member last name,Transfer date,Amount,Reference number,Partner code
1,user2_m_id,Jane,Smith,20240808,10000,4dcf31545f8d45ba8b9f6afc1359de4e,CITY_BANK
2,user6_m_id,David,Williams,20240808,10000,13c428897cbe4643b8f6eb9b3ed439e7,NATIONAL_BANKING
3,user8_m_id,Frank,Garcia,20240808,10000,ddc514fd020942fa80a04c2847d2ec60,ROYAL_FINANCE
4,user15_m_id,Mia,Harris,20240808,10000,e3bb2944cf2247cd87c8a0e78e10f9a9,GLOBAL_TRUST
5,user22_m_id,Tina,Roberts,20240808,10000,79c13cc60934455b85505f2455bd2994,CITY_BANK
6,user26_m_id,Xander,Scott,20240808,10000,2a6409ac79c246d6bd50990171054a6a,NATIONAL_BANKING
7,user28_m_id,Zane,Adams,20240808,10000,7003dfff679749bbb854fd6a264ef861,ROYAL_FINANCE
8,user2_m_id,Jane,Smith,20240808,10000,7a0fd59253c2460e9a066ccb4dd94f8d,CITY_BANK
9,user6_m_id,David,Williams,20240808,10000,2f553dae655b46728ffa92e9b74153fd,NATIONAL_BANKING
10,user8_m_id,Frank,Garcia,20240808,10000,6f9a8bc42bef4e328b0d3ebfd79ff726,ROYAL_FINANCE
11,user15_m_id,Mia,Harris,20240808,10000,8db2538a2e524bcd9ff416d0b68c3c2c,GLOBAL_TRUST
12,user22_m_id,Tina,Roberts,20240808,10000,72ee38defb344ec1b70d04aebf1fab16,CITY_BANK
13,user26_m_id,Xander,Scott,20240808,10000,5276bb12833b4504b703e7172fbc17a1,NATIONAL_BANKING
14,user28_m_id,Zane,Adams,20240808,10000,7e919f86e4464fea9aeab1505451c9d7,ROYAL_FINANCE
